2024-12-04 15:13:02,996 - INFO - 2020-01-31 00:00:00: Selected 179 stocks.
2024-12-04 15:13:02,997 - INFO - 2020-01-31 00:00:00: Portfolio Value = 9,160,743.97
2024-12-04 15:13:03,016 - INFO - Selected Stocks:
Ticker        Name    Close  PER  PBR  DIV      EPS
006360        GS건설  26250.0 3.58 0.62 3.58   7788.0
003240        태광산업 806000.0 3.62 0.33 0.33 254395.0
175330      JB금융지주   5010.0 3.62 0.32 3.57   1391.0
006840       AK홀딩스  24050.0 3.66 0.47 2.49   8224.0
011780        금호석유  59300.0 3.73 0.94 2.06  17597.0
005010         휴스틸   1404.0 3.78 0.17 4.47   2362.0
002030         아세아  92900.0 3.89 0.30 1.71  26329.0
030610        교보증권   7580.0 3.89 0.35 4.06   2216.0
002310       아세아제지   6040.0 3.93 0.58 2.17   8785.0
010400     우진아이엔에스   7800.0 3.93 0.60 4.69   2172.0
005870         휴니드   5570.0 4.00 0.82 0.00   1590.0
004870      티웨이홀딩스   1110.0 4.03 0.56 0.00    344.0
000540        흥국화재   2845.0 4.07 0.27 0.00    695.0
011170       롯데케미칼 178595.0 4.07 0.50 5.60  46074.0
095720       웅진씽크빅   2364.0 4.11 0.30 0.00    542.0
042670   HD현대인프라코어   3554.0 4.15 0.53 0.00   1184.0
067830     세이브존I&C   2645.0 4.19 0.27 1.77    673.0
024110        기업은행   9510.0 4.21 0.33 6.48   2531.0
294870   HDC현대산업개발  18050.0 4.23 0.53 2.44   4851.0
000660      SK하이닉스  87900.0 4.26 1.47 1.58  22255.0
088350        한화생명   1650.0 4.29 0.17 4.93    473.0
097950      CJ제일제당 244000.0 4.29 0.81 1.47  55416.0
095570      AJ네트웍스   4090.0 4.31 0.67 2.07   1124.0
210540       디와이파워   7970.0 4.33 0.74 2.00   2311.0
001130        대한제분 130000.0 4.34 0.30 1.87  30882.0
004970        신라교역  10200.0 4.44 0.35 4.46   2525.0
006740        영풍제지   1359.0 4.44 0.71 1.13    797.0
007160        사조산업  29700.0 4.51 0.39 0.77   7202.0
007340     DN오토모티브   5558.0 4.51 0.53 3.47   6391.0
086790      하나금융지주  31400.0 4.51 0.38 5.72   7360.0
004000      롯데정밀화학  33200.0 4.52 0.71 4.46   8438.0
002870          신풍   1235.0 4.56 0.96 5.57    315.0
138930     BNK금융지주   6170.0 4.64 0.29 4.38   1475.0
001570          금양   2505.0 4.65 1.36 3.23    533.0
002200      한국수출포장   1930.0 4.65 0.35 2.99   4323.0
004490        세방전지  31750.0 4.65 0.47 1.53   7025.0
003530      한화투자증권   1755.0 4.66 0.36 0.00    411.0
161000       애경케미칼   6860.0 4.67 0.73 4.45   1682.0
078930          GS  41250.0 4.72 0.50 4.22   9539.0
001450        현대해상  22600.0 4.73 0.47 5.18   4607.0
000210          DL  65512.0 4.75 0.57 2.14  16741.0
001200      유진투자증권   1960.0 4.78 0.30 2.61    480.0
001340        백광산업   3389.0 4.82 0.76 1.89    548.0
010960        삼호개발   4030.0 4.82 0.57 3.88    855.0
138040     메리츠금융지주  10200.0 4.82 0.59 4.50   2169.0
009410        태영건설  13123.0 4.86 1.05 0.93   2770.0
000480       CR홀딩스   7790.0 4.94 0.55 4.99  16227.0
058730         다스코   5750.0 4.94 0.71 3.43   1181.0
035000        HS애드   5510.0 4.96 0.55 4.46   1129.0
091810       티웨이항공   2015.0 5.01 0.99 0.00    946.0
005830      DB손해보험  43300.0 5.06 0.59 4.70   8413.0
007690        국도화학  31027.0 5.06 0.48 3.68   8056.0
004360          세방   9140.0 5.09 0.27 1.80   1908.0
017670       SK텔레콤  36664.0 5.14 0.81 4.42  44066.0
093050          LF  12550.0 5.15 0.37 3.41   2846.0
030210      다올투자증권   2045.0 5.18 0.29 0.00    411.0
077970       STX엔진   5890.0 5.19 0.79 0.00   1213.0
003470       유안타증권   2345.0 5.24 0.48 0.00    509.0
014280        금강공업   3000.0 5.24 0.30 2.92    653.0
005720          넥센   5000.0 5.25 0.34 1.30   1103.0
057050       현대홈쇼핑  74200.0 5.29 0.54 2.52  14252.0
009970     영원무역홀딩스  40300.0 5.46 0.48 1.97   7432.0
001500       현대차증권   8420.0 5.48 0.31 4.77   1724.0
003540        대신증권   9400.0 5.48 0.47 5.77   1961.0
036460      한국가스공사  28100.0 5.50 0.36 4.29   5766.0
079430       현대리바트   9310.0 5.54 0.49 2.71   1933.0
085620      미래에셋생명   3990.0 5.57 0.41 4.01    760.0
002710       TCC스틸   2267.0 5.62 0.52 3.15    452.0
008260        NI스틸   1750.0 5.63 0.54 2.48    358.0
105560        KB금융  38900.0 5.68 0.51 4.38   7721.0
092780       동양피스톤   4170.0 5.72 0.70 2.40    874.0
037710       광주신세계  29600.0 5.73 0.42 1.86  28183.0
034730          SK 192000.0 5.74 0.99 2.16  40310.0
267270    HD현대건설기계  20500.0 5.75 0.42 3.23   4585.0
005320        온타이드   1410.0 5.77 0.37 0.00    188.0
000240      한국앤컴퍼니  12250.0 5.82 0.39 2.28   2258.0
005880        대한해운   1575.0 5.82 0.64 0.00   3488.0
005810       풍산홀딩스  13917.0 5.85 0.35 5.39   5394.0
016800         퍼시스  28300.0 5.87 0.77 3.53   4824.0
006120     SK디스커버리  21600.0 5.90 0.33 2.58   3942.0
047040        대우건설   4050.0 5.97 0.79 0.00    727.0
055550        신한지주  32300.0 5.97 0.52 4.07   6579.0
300720       한일시멘트   7260.0 5.97 0.37 5.81  12967.0
024720       콜마홀딩스  21750.0 6.01 1.11 0.90   3608.0
003000        부광약품  11468.0 6.12 2.18 1.47   2224.0
317400      자이에스앤디   5076.0 6.12 1.72 0.00    964.0
000070       삼양홀딩스  49150.0 6.13 0.35 3.61   9043.0
001270        부국증권  18950.0 6.36 0.59 5.91   3194.0
032560       황금에스티   5192.0 6.40 0.40 0.75   1038.0
035510     신세계 I&C   9500.0 6.40 1.02 1.31  17877.0
004560     현대비앤지스틸   7350.0 6.42 0.33 1.22   1280.0
001720        신영증권  49650.0 6.43 0.75 5.23   8185.0
005430        한국공항  36200.0 6.49 0.40 2.50   6159.0
016090          대현   1945.0 6.49 0.52 3.64    338.0
001070        대한방직  19000.0 6.50 0.59 1.53   3024.0
039570       HDC랩스   8030.0 6.50 0.76 3.66   1473.0
003550          LG  63765.0 6.58 0.68 2.87  10603.0
007540          샘표  34550.0 6.64 0.74 0.52   5797.0
014710       사조씨푸드   4285.0 6.64 0.38 1.44    733.0
214330      금호에이치티   1213.0 6.66 0.53 0.00    632.0
015230        대창단조   2580.0 6.68 0.46 3.56   4208.0
016710       대성홀딩스   7980.0 6.69 0.32 3.08   1214.0
017390        서울가스  69500.0 6.71 0.38 2.45  10653.0
161390 한국타이어앤테크놀로지  25500.0 6.72 0.52 1.59   4216.0
003480    한진중공업홀딩스   2290.0 6.73 0.20 0.00    346.0
000850        화천기공  34700.0 6.74 0.30 3.23   5753.0
096770     SK이노베이션 111186.0 6.76 0.64 6.48  18267.0
139480         이마트 105000.0 6.89 0.37 1.85  15668.0
025750       한솔홈데코    922.0 6.93 0.50 1.99    145.0
014530        극동유화   3225.0 6.97 0.74 4.74    484.0
034590      인천도시가스  25950.0 7.00 0.67 4.56   3912.0
001940    KISCO홀딩스  10650.0 7.03 0.28 2.40   1658.0
192400       쿠쿠홀딩스  19360.0 7.04 1.25 2.80  15206.0
071840      롯데하이마트  21100.0 7.06 0.29 6.65   3620.0
023590        다우기술  16000.0 7.13 0.68 1.92   2551.0
008040       사조동아원    978.0 7.16 0.77 0.00    135.0
092440        기신정기   3525.0 7.21 0.46 4.03    516.0
002170        삼양통상  55300.0 7.24 0.63 1.23   8445.0
008870          금비  57400.0 7.26 0.63 2.76   8486.0
010580       에스엠벡셀   2355.0 7.27 0.83 0.00     55.0
009310      참엔지니어링   1290.0 7.29 1.16 0.00    203.0
016740          두올   2950.0 7.29 0.66 2.52    435.0
071050      한국금융지주  62800.0 7.29 0.94 2.72   9062.0
003200        일신방직   6150.0 7.32 0.23 2.97   9206.0
032830        삼성생명  58500.0 7.33 0.47 3.90   9268.0
069260      TKG휴켐스  18400.0 7.37 1.25 6.05   2693.0
069960       현대백화점  70900.0 7.38 0.44 1.15  10594.0
004890        동일산업  50600.0 7.40 0.36 2.83   7164.0
163560      동일고무벨트   5081.0 7.54 0.41 1.58    755.0
072710       농심홀딩스  75700.0 7.58 0.40 2.62  10077.0
033270     유나이티드제약  15800.0 7.64 1.16 2.02   2139.0
281820        케이씨텍  17850.0 7.64 1.62 1.29   2741.0
090460        비에이치  17750.0 7.67 3.49 0.00   2726.0
058850        KTcs   1835.0 7.68 0.57 4.33    271.0
120030        조선선재  78100.0 7.68 0.98 1.88  10397.0
044450       KSS해운   7630.0 7.69 0.65 3.27    914.0
088790          진도   3100.0 7.70 0.41 4.33    450.0
001250       GS글로벌   1710.0 7.83 0.42 1.28    249.0
264900       크라운제과   7660.0 7.83 0.84 3.10   1029.0
041650      상신브레이크   3200.0 7.91 0.43 2.99    423.0
322000  HD현대에너지솔루션  26200.0 7.91 0.62 0.00   2327.0
248170        샘표식품  28600.0 7.98 1.09 0.64   3940.0
002350       넥센타이어   6420.0 7.99 0.59 1.24   1008.0
053210      스카이라이프   7360.0 8.06 0.63 4.00   1085.0
058430     포스코스틸리온  13100.0 8.06 0.42 3.28   1891.0
020000          한섬  24500.0 8.08 0.68 1.46   3385.0
004430        송원산업  11150.0 8.13 0.75 1.24   1587.0
042660        한화오션  19678.0 8.14 0.68 0.00   2998.0
089590        제주항공  15372.0 8.20 1.52 2.94   2696.0
004450        삼화왕관  40950.0 8.23 0.68 3.08   5327.0
192650         드림텍   5638.0 8.27 2.16 0.00    739.0
009440     KC그린홀딩스   4120.0 8.30 0.62 1.66    579.0
000810        삼성화재 198000.0 8.34 0.86 5.48  25182.0
069730       DSR제강   3725.0 8.34 0.45 0.93    513.0
005440    현대지에프홀딩스   5697.0 8.51 0.57 2.09   1181.0
210980       SK디앤디  15700.0 8.60 1.52 2.15   3237.0
003960        사조대림  14450.0 8.68 0.39 1.04   1659.0
155660         DSR   3720.0 8.68 0.47 1.17    494.0
027410         BGF   4515.0 8.69 0.32 0.70    575.0
058650       세아홀딩스  66400.0 8.69 0.15 3.51   8193.0
004690         삼천리  78400.0 8.72 0.25 3.83   8995.0
036530      SNT홀딩스  13200.0 8.73 0.37 2.69   1701.0
2024-12-04 15:13:03,094 - INFO - 2020-03-31 00:00:00: Selected 178 stocks.
2024-12-04 15:13:03,095 - INFO - 2020-03-31 00:00:00: Portfolio Value = 7,316,683.50
2024-12-04 15:13:03,113 - INFO - Selected Stocks:
Ticker        Name    Close  PER  PBR  DIV      EPS
016590       신대양제지   5190.0 2.74 0.60 1.39  19674.0
009200       무림페이퍼   1900.0 2.80 0.22 2.15    833.0
034830      한국토지신탁   1645.0 2.87 0.60 5.63    682.0
000860      강남제비스코  14250.0 2.94 0.22 3.15   5942.0
006840       AK홀딩스  18000.0 2.95 0.38 3.09   8224.0
123890      한국자산신탁   1965.0 3.00 0.53 7.95    838.0
017940          E1  27450.0 3.01 0.23 4.92  13507.0
000880          한화  15300.0 3.05 0.47 3.51   6541.0
267290      경동도시가스  15300.0 3.06 0.33 4.94   5793.0
